target,degrees
Kevin Bacon,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Tom Cruise,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
Cary Elwes,9 12 9 9 9 8 11 11 9 8 8 9 9 9 8 12 9 9 8 11 12 9 11 8 8 11 9 9 9 8 9 8 8 9 8 11 8 12 9 9 9 11 9 8 9 9 9 8 9 8 
Tom Hanks,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
Mandy Patinkin,9 12 9 9 9 8 11 11 9 8 8 9 9 9 8 12 9 9 8 11 12 9 11 8 8 11 9 9 9 8 9 8 8 9 8 11 8 12 9 9 9 11 9 8 9 9 9 8 9 8 
Dustin Hoffman,7 4 5 7 3 5 3 4 7 7 7 4 6 5 7 2 4 4 4 2 5 5 3 6 7 2 7 4 4 6 4 6 7 5 5 3 5 2 3 5 4 2 5 5 4 7 6 5 7 5 
Chris Sarandon,9 12 9 9 9 8 11 11 9 8 8 9 9 9 8 12 9 9 8 11 12 9 11 8 8 11 9 9 9 8 9 8 8 9 8 11 8 12 9 9 9 11 9 8 9 9 9 8 9 8 
Demi Moore,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
Jack Nicholson,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
Bill Paxton,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
Sally Field,5 6 2 2 2 3 6 5 2 4 2 3 2 4 3 5 3 2 2 6 6 2 6 2 3 5 2 3 2 4 2 3 3 3 3 4 4 4 2 2 2 3 2 3 3 3 2 2 2 2 
Valeria Golino,7 4 5 7 3 5 3 4 7 7 7 4 6 5 7 2 4 4 4 2 5 5 3 6 7 2 7 4 4 6 4 6 7 5 5 3 5 2 3 5 4 2 5 5 4 7 6 5 7 5 
Gerald R. Molen,7 4 5 7 3 5 3 4 7 7 7 4 6 5 7 2 4 4 4 2 5 5 3 6 7 2 7 4 4 6 4 6 7 5 5 3 5 2 3 5 4 2 5 5 4 7 6 5 7 5 
Gary Sinise,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
Robin Wright,5 6 2 2 2 3 6 5 2 4 2 3 2 4 3 5 3 2 2 6 6 2 6 2 3 5 2 3 2 4 2 3 3 3 3 4 4 4 2 2 2 3 2 3 3 3 2 2 2 2 
Emma Watson,N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N 
